method,features,lags,mas,f1,precision,recall,cm
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_3_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_3_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_3_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_3_value')",0.03508771929824561,0.019230769230769232,0.2,"[[1099  153]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_3_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_3_value')",0.02531645569620253,0.015625,0.06666666666666667,"[[1189   63]
 [  14    1]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_4_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_4_value')",0.03773584905660377,0.020833333333333332,0.2,"[[1111  141]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_4_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_5_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_5_value')",0.024242424242424242,0.013333333333333334,0.13333333333333333,"[[1104  148]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_5_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_6_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_6_value')",0.023952095808383235,0.013157894736842105,0.13333333333333333,"[[1102  150]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_6_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_7_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_7_value')",0.023952095808383235,0.013157894736842105,0.13333333333333333,"[[1102  150]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_7_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_8_value')",0.012195121951219513,0.006711409395973154,0.06666666666666667,"[[1104  148]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_8_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_9_value')",0.023809523809523808,0.013071895424836602,0.13333333333333333,"[[1101  151]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_9_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.011428571428571429,0.00625,0.06666666666666667,"[[1093  159]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_2_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_2_value', 'ma_10_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_4_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_4_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
